"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm."
"90","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,8,NA,2,369
"91","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,8,NA,1,1
"92","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",4,9,NA,1,233
"93","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",4,9,NA,1,1
"94","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",4,10,NA,1,3
"95","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,1,NA,3,364
"96","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,1,NA,1,1
"97","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,2,NA,2,345
"98","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,2,NA,1,1
"99","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,3,NA,3,70
"100","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,3,NA,1,1
"101","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,5,4,NA,1,3
"102","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",5,5,NA,1,3
"103","QHI","HE","CTL",1,1999,"XXXotherlichen","LIVE","LEAF",5,6,NA,1,131
"104","QHI","HE","CTL",1,1999,"CLAMIT","LIVE","LEAF",5,6,NA,1,1
"105","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",5,6,NA,1,1
"106","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,7,NA,5,45
"107","QHI","HE","CTL",1,1999,"CETCUC","LIVE","LEAF",5,7,NA,1,1
"108","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,7,NA,1,1
"109","QHI","HE","CTL",1,1999,"SAUANG","LIVE","LEAF",5,7,NA,1,1
"110","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,5,7,NA,1,1
"111","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,8,NA,1,131
"112","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,8,NA,2,1
"113","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,9,NA,4,389
"114","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,9,NA,1,1
"115","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",5,10,NA,1,233
"116","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",5,10,NA,1,1
"117","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,1,NA,3,358
"118","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",6,1,NA,1,1
"119","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,2,NA,2,131
"120","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",6,2,NA,1,1
"121","QHI","HE","CTL",1,1999,"POLBIS","LIVE","LEAF",6,2,NA,1,1
"122","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,3,NA,2,369
"123","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,6,3,NA,1,1
"124","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,4,NA,1,374
"125","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,6,4,NA,1,1
"126","QHI","HE","CTL",1,1999,"XXXothergram","LIVE","LEAF",6,5,NA,1,233
"127","QHI","HE","CTL",1,1999,"SALPHL","LIVE","LEAF",6,5,NA,1,1
"128","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,6,5,NA,1,1
"129","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,6,6,NA,1,3
"130","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,7,NA,1,340
"131","QHI","HE","CTL",1,1999,"SALPHL","LIVE","LEAF",6,7,NA,1,1
"132","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,8,NA,1,369
"133","QHI","HE","CTL",1,1999,"CETISL","LIVE","LEAF",6,8,NA,1,1
"134","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,6,8,NA,1,1
"135","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",6,9,NA,3,60
"136","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",6,9,NA,1,1
"137","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",6,10,NA,1,3
"138","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",6,10,NA,1,1
"139","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",6,10,NA,1,1
"140","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,1,NA,1,3
"141","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",7,1,NA,2,1
"142","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,7,1,NA,1,1
"143","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",7,2,NA,2,40
"144","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,2,NA,1,1
"145","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",7,3,NA,1,233
"146","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,3,NA,1,1
"147","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",7,4,NA,6,35
"148","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,4,NA,1,1
"149","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",7,5,NA,1,302
"150","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,5,NA,3,1
"151","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,7,5,NA,1,1
"152","QHI","HE","CTL",1,1999,"SALPHL","LIVE","LEAF",7,6,NA,1,15
"153","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,7,6,NA,1,1
"154","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,7,7,NA,1,3
"155","QHI","HE","CTL",1,1999,"SALPHL","LIVE","LEAF",7,8,NA,1,3
"156","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",7,9,NA,1,3
"157","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",7,9,NA,1,1
"158","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",7,10,NA,1,340
"159","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",7,10,NA,1,1
"160","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,1,NA,1,374
"161","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",8,1,NA,1,1
"162","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,8,1,NA,1,1
"163","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,2,NA,3,35
"164","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",8,2,NA,2,1
"165","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,3,NA,4,345
"166","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,4,NA,4,345
"167","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",8,4,NA,1,1
"168","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,5,NA,3,379
"169","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",8,5,NA,1,1
"170","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",8,6,NA,1,353
"171","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,8,6,NA,1,1
"172","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,8,7,NA,1,3
"173","QHI","HE","CTL",1,1999,"XXXbareground",NA,NA,8,8,NA,1,3
"174","QHI","HE","CTL",1,1999,"XXXotherlichen","LIVE","LEAF",8,9,NA,1,3
"175","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,8,9,NA,1,1
"176","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",8,10,NA,1,3
"177","QHI","HE","CTL",1,1999,"FESBAF","LIVE","LEAF",8,10,NA,1,1
"178","QHI","HE","CTL",1,1999,"PEDLAN","STANDINGDEAD","LEAF",8,10,NA,1,1
"179","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",8,10,NA,1,1
"180","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,1,NA,1,379
"181","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",9,1,NA,1,1
"182","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",9,1,NA,2,1
"183","QHI","HE","CTL",1,1999,"SALPUL","LIVE","STEM",9,1,NA,1,1
"184","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,2,NA,3,95
"185","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",9,2,NA,1,1
"186","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,3,NA,2,307
"187","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",9,3,NA,2,1
"188","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,4,NA,1,374
"189","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",9,4,NA,2,1
"190","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,5,NA,3,389
"191","QHI","HE","CTL",1,1999,"CETCUC","LIVE","LEAF",9,5,NA,1,1
"192","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",9,6,NA,1,3
"193","QHI","HE","CTL",1,1999,"FESBAF","STANDINGDEAD","LEAF",9,7,NA,1,379
"194","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,9,7,NA,1,1
"195","QHI","HE","CTL",1,1999,"POLBIS","LIVE","LEAF",9,8,NA,1,60
"196","QHI","HE","CTL",1,1999,"FESBAF","STANDINGDEAD","LEAF",9,8,NA,1,1
"197","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,9,8,NA,1,1
"198","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,9,NA,1,364
"199","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,9,9,NA,1,1
"200","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",9,10,NA,4,30
"201","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",9,10,NA,1,1
"202","QHI","HE","CTL",1,1999,"SALPUL","LIVE","LEAF",10,1,NA,2,364
"203","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,1,NA,3,1
"204","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",10,1,NA,1,1
"205","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,2,NA,3,35
"206","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,2,NA,1,1
"207","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,3,NA,3,374
"208","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,3,NA,1,1
"209","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,4,NA,4,389
"210","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,4,NA,1,1
"211","QHI","HE","CTL",1,1999,"DRYINT","LIVE","LEAF",10,5,NA,1,10
"212","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",10,5,NA,1,1
"213","QHI","HE","CTL",1,1999,"DRYINT","LIVE","LEAF",10,6,NA,1,10
"214","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",10,6,NA,1,1
"215","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,7,NA,3,45
"216","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,7,NA,1,1
"217","QHI","HE","CTL",1,1999,"XXXothermoss","LIVE","LEAF",10,7,NA,1,1
"218","QHI","HE","CTL",1,1999,"DRYINT","LIVE","LEAF",10,8,NA,2,3
"219","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,8,NA,3,1
"220","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,10,8,NA,1,1
"221","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,9,NA,1,3
"222","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,9,NA,1,1
"223","QHI","HE","CTL",1,1999,"XXXlitter","LITTER",NA,10,9,NA,1,1
"224","QHI","HE","CTL",1,1999,"ERIVAG","LIVE","LEAF",10,10,NA,2,340
"225","QHI","HE","CTL",1,1999,"ERIVAG","STANDINGDEAD","LEAF",10,10,NA,1,1
"226","QHI","HE","CTL",2,1999,"DACARC","LIVE","LEAF",1,1,NA,1,3
"227","QHI","HE","CTL",2,1999,"POAARC","STANDINGDEAD","LEAF",1,1,NA,1,1
"228","QHI","HE","CTL",2,1999,"SALPUL","STANDINGDEAD","LEAF",1,1,NA,1,1
"229","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,1,1,NA,1,1
"230","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",1,2,NA,3,374
"231","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,1,2,NA,1,1
"232","QHI","HE","CTL",2,1999,"SALPUL","STANDINGDEAD","STEM",1,3,NA,1,3
"233","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",1,3,NA,1,1
"234","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,1,3,NA,1,1
"235","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",1,4,NA,2,126
"236","QHI","HE","CTL",2,1999,"POAARC","LIVE","LEAF",1,4,NA,1,1
"237","QHI","HE","CTL",2,1999,"XXXbareground",NA,NA,1,4,NA,1,1
"238","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",1,5,NA,1,3
"239","QHI","HE","CTL",2,1999,"ERIVAG","LIVE","LEAF",1,6,NA,1,389
"240","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,1,6,NA,1,1
"241","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",1,7,NA,1,340
"242","QHI","HE","CTL",2,1999,"ERIVAG","STANDINGDEAD","LEAF",1,7,NA,1,1
"243","QHI","HE","CTL",2,1999,"SALPUL","LIVE","STEM",1,7,NA,1,1
"244","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,1,7,NA,1,1
"245","QHI","HE","CTL",2,1999,"ERIVAG","LIVE","LEAF",1,8,NA,2,364
"246","QHI","HE","CTL",2,1999,"ERIVAG","STANDINGDEAD","LEAF",1,8,NA,2,1
"247","QHI","HE","CTL",2,1999,"ERIVAG","LIVE","LEAF",1,9,NA,1,238
"248","QHI","HE","CTL",2,1999,"ERIVAG","STANDINGDEAD","LEAF",1,9,NA,2,1
"249","QHI","HE","CTL",2,1999,"XXXothermoss","LIVE","LEAF",1,9,NA,1,1
"250","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,1,NA,1,345
"251","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,2,1,NA,1,1
"252","QHI","HE","CTL",2,1999,"HIEALP","LIVE","LEAF",2,2,NA,1,20
"253","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,2,2,NA,1,1
"254","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",2,3,NA,1,15
"255","QHI","HE","CTL",2,1999,"XXXothermoss","LIVE","LEAF",2,3,NA,1,1
"256","QHI","HE","CTL",2,1999,"XXXbareground",NA,NA,2,4,NA,1,3
"257","QHI","HE","CTL",2,1999,"XXXbareground",NA,NA,2,5,NA,1,3
"258","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",2,6,NA,1,3
"259","QHI","HE","CTL",2,1999,"SALRET","STANDINGDEAD","STEM",2,6,NA,1,1
"260","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,2,6,NA,1,1
"261","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,7,NA,2,369
"262","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",2,7,NA,1,1
"263","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,2,7,NA,1,1
"264","QHI","HE","CTL",2,1999,"ERIVAG","STANDINGDEAD","LEAF",2,8,NA,3,3
"265","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,2,8,NA,1,1
"266","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",2,9,NA,4,389
"267","QHI","HE","CTL",2,1999,"ERIVAG","STANDINGDEAD","LEAF",2,9,NA,3,1
"268","QHI","HE","CTL",2,1999,"CETCUC","LIVE","LEAF",3,1,NA,1,3
"269","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,3,2,NA,1,3
"270","QHI","HE","CTL",2,1999,"CETCUC","LIVE","LEAF",3,3,NA,1,3
"271","QHI","HE","CTL",2,1999,"PEDCAP","LIVE","LEAF",3,4,NA,1,20
"272","QHI","HE","CTL",2,1999,"XXXbareground",NA,NA,3,4,NA,1,1
"273","QHI","HE","CTL",2,1999,"DRYINT","LIVE","LEAF",3,5,NA,1,233
"274","QHI","HE","CTL",2,1999,"XXXbareground",NA,NA,3,5,NA,1,1
"275","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,3,6,NA,1,3
"276","QHI","HE","CTL",2,1999,"XXXothermoss","LIVE","LEAF",3,6,NA,1,1
"277","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",3,7,NA,1,20
"278","QHI","HE","CTL",2,1999,"XXXotherlichen","LIVE","LEAF",3,7,NA,1,1
"279","QHI","HE","CTL",2,1999,"CETISL","LIVE","LEAF",3,7,NA,1,1
"280","QHI","HE","CTL",2,1999,"SALRET","LIVE","LEAF",3,8,NA,1,307
"281","QHI","HE","CTL",2,1999,"SALRET","STANDINGDEAD","STEM",3,8,NA,1,1
"282","QHI","HE","CTL",2,1999,"THASUB","LIVE","LEAF",3,8,NA,1,1
"283","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",3,9,NA,1,126
"284","QHI","HE","CTL",2,1999,"CETISL","LIVE","LEAF",3,9,NA,1,1
"285","QHI","HE","CTL",2,1999,"XXXlitter","LITTER",NA,3,9,NA,1,1
"286","QHI","HE","CTL",2,1999,"SALPUL","LIVE","LEAF",4,1,NA,1,374
